33221,鹿晗 《有点儿意思》
33236,鹿晗《原动力》超赞的一首歌
33244,鹿晗 《我让你走了》
33246,鹿晗 《甜蜜蜜》
33247,鹿晗《诺言（剧情版）》
33249,鹿晗 《诺言》！！！
33256,鹿晗《某时某刻》首演
33257,鹿晗 《某时某刻》
33258,鹿晗 《某时某刻 catch me when i fall》首唱
33259,鹿晗 《某时某刻 Catch me when I fall》，
33260,#鹿晗#《冒险时间》练习室版MV精湛舞蹈霸气再现
33262,鹿晗独宠黑裤版致爱狗芦苇可以的
33266,鹿晗 《海底（Deep）》
33294,鹿晗 《爱情向前进 》
33304,鹿晗《超级冠军》MV
33305,鹿晗《超级冠军》仿舞 听到老公的歌好感动
33361,鹿晗滴原动力毁了 哎
33385,鹿晗的致爱真好听，爱你么！
33386,鹿晗的致爱，
33387,鹿晗的，致爱
33412,鹿晗的有点儿意思，你不是说都忘了吗？
33417,鹿晗的一首歌勋章中的奥德修斯是谁？
33436,鹿晗的勋章，挺好听的
33437,鹿晗的勋章好听
33438,鹿晗的勋章 炒鸡好听
33439,鹿晗的勋章，唱的不错~
33448,鹿晗的新歌甜蜜蜜你听了么，软绵绵的声音。
33513,鹿晗的我们的明天
33580,鹿晗的诺言听听
33589,鹿晗的某时某刻的部分
33696,鹿晗的 封印 已经自学一分钟，夸我
33697,鹿晗的封印 mv
33698,鹿晗的封印
33719,鹿晗的粉丝别打我，一首《我们的明天》送给大家
33731,鹿晗的《有点儿意思》
33732,鹿晗的《勋章》竟然火到这种程度
33733,鹿晗的《勋章》
33735,鹿晗的《某时某刻》，在全球中文音乐榜上榜第一名
33736,"鹿晗的《封印》 ,喜欢喜欢喜欢 ~"
33738,鹿晗的《超级冠军》，还飙英语啊
34014,鹿晗虫儿飞
34049,鹿晗超级冠军mv
34050,鹿晗 - 超级冠军JowVincent&Boom舞蹈模仿
34054,鹿晗超级冠军
34055,"鹿晗,超级冠军"
34056,鹿晗-超级冠军
34059,鹿晗唱诺言=唱我
34564,鹿晗Reloaded个人演唱会北京场《我们的明天》
34622,鹿晗/Luhan，国籍中国，户籍北京。
34627,"鹿晗。,Luhan"
34631,鹿晗Lu
34632,鹿晗～<Lu>
34716,鹿晗―勋章
34727,鹿晗–冒险时间
34729,鹿晗–Lu
35287,鹿晗2016Reloaded演唱会上海站《甜蜜蜜》
35395,#鹿晗# 1119 《某时某刻》首唱会预览图 or 高清图
35487,路过 听到鹿晗的 某时某刻 么么哒
36016,困 《冒险时间》鹿晗
36081,"肯德基在放鹿晗的,某时某刻,catch me when I fall"
36082,肯德基在放鹿晗的 某时某刻
36083,肯德基再放鹿晗的封印肯德基太有品味了
36084,肯德基，现在，鹿晗，某时某刻。
36464,？？？？鹿晗封印第二名？？？？？？
36538,"【一首歌的时间】,鹿晗 《某时某刻》"
36658,【天将明】BGM《勋章》 《某时某刻》鹿晗
36698,【鹿晗】160402广州演唱会饭拍《甜蜜蜜》
36862,"今天要刷屏了 ,某时某刻看鹿晗"
36915,今天我们学校放了鹿晗的《勋章》，好开心，好激动
36919,今天晚上17:55分 我走在路上 听到鹿晗的某时某刻
36981,今天复习了鹿晗的舞蹈《有点儿意思》
